Text,Label
Hay vãi chưởng các bạn ạ,0
Bộ phim rất hài và hay,3
Thật là cảm động,1
Phim hàn quốc cũng hay đấy,3
Xem xong tôi mới cảm thấy mẹ tuyệt vời nhất trên đời.Tôi yêu mẹ,1
Tôi đã khóc vì tấm lòng chân thật của cô bé ấy với mẹ cô,1
coi 5 lần rồi nhưng khi coi lại vẫn có cảm giác hấp dẫn như lần đầu coi,3
xem đi xem lại mà lệ vẫn tuôn. Phim cảm động quá.,1
Coi cái này toát mồ hôi hộp lun Em coi hoài vẫn không chán,3
Xem phim mà muốn rớt tim luôn á,2
Coi phim mà em muốn rớt nước mắt và em còn hồi hộp nữa,1
"Phin hay , nam nữ chính diễn rất thật , xem mà hồi hợp ghê luôn á.",3
xem đi xem lại mấy chục lần vẫn thấy hay.Rất chi làm cảm động,1
Hồi hộp đến từng giây,3
Xem mà khóc luôn trời,1
Coi phim mà muốn khóc luôn á,1
Hồi hộp xĩu luôn á,4
Công nhận rất hồi hộp,4
Bộ này cảm xúc dâng trào,1
Coi mà khóc luôn á,1
Xem đến khúc cuối không biết vì sao khóc như mưa,1
hay quá hồi hộp muốn xỉu lun á nhưng may thật,4
Coi mà sợ thật sự luôn á hồi hộp nữa,2
Hay quá đi mà sống với hồi hộp,4
Phim cuốn quá ạ e xem gần cả chục làn rồi,3
hay lắm ạ còn hồi hộp nữa,4
Muốn rớt tim luôn,2
Coi mà tưởng mình cũng đang có trog phim luôn á,4
Xem phim mà hồi hộp muốn sỉu luôn,4
Xem phim mà muốn rớt cả tim luôn á,2
phim này mình đi xem rồi. Vừa hài hước vừa gay cấn nhìn chung là hay tuyệt vời,1
Xem đi xem lại vẫn hay nhỉ,3
Hồi hợp khúc cuối khóc lun,1
Bộ phim này vừa hay vừa hồi hộp,4
Coi mà muốn khóc luôn,1
E coi mà hồi hộp đến từng giây lun,4
Phim hay lắm luôn ạ,3
xem cuốn ghê,3
phim rất hay mong ra thêm nhiều phim giống như thế này em sẽ ủng hộ hết mình,3
Phim hay cảm động trước sự dũng cảm của hai người,1
Phim hay quá đi,3
Phim hay lắm ý . Cực đáng xem,3
"Thấy thật đơn giản như đã lấy đi nước mắt của người xem, phim hay quá coi xong mình muốn khóc luôn",1
Phim đơn gian nhưng mà nó tốn nước mắt thật sự,1
Phim rất hay ý nghĩa cảm động quá mức,1
"Tôi không bao giờ khóc khi xem phim, ai dè khi xem phim này nước mắt tôi lại rơi lả tả",1
t khóc từ đầu phim đến cuối phim,1
Phim có nhiều cảnh cảm động nhưng mà chị nhân vật chính xinh quá,1
"Con trai cũng rơm rớm nước mắt , trông thế mà cảm động ghê",1
Thật là bất công mình xem phim này thấy rất cảm động nhưng mình không khóc,1
"Khóc ướt gối, đau lòng quá",1
"Phim hay, mang tính nhân văn cao cả.",3
Khúc cuối khóc như mưa,1
Xem mún khóc luôn,1
Coi mà buồn và tội cho cô chị và cô em quá,1
coi mà trải nước mắt hết phim luôn tới mức đang nhắn mà sổ mũi luôn,1
Khóc hết cả phim đến gần chết,1
Ôi tôi xem song mà tôi thấy buồn quá mà,1
coi mà khóc,1
tội quá huhu,1
buồn quá,1
Xem xong phim cứ thấy buồn trong lòng,1
Phim này tôi thấy rất cảm động,1
Bộ phim này dạy cho chúng ta hiểu đừng tiêu sài hoang phí,4
Ức chế giùm cho cô bé cô bé như 1 thiên thần mà phải chịu nhiều đau khổ .,4
Xem bộ phim này mà muốn khóc luôn á,1
"Móa, khóc đến nghẹt cả mũi.",1
Xem đến đoạn cô bé ngăn bố lại rồi nói “về nhà đi bố” mà khóc mất 5 phút.,1
Những bộ phim càng buồn càng ức chế thì được nhớ đến càng lâu,1
"tui coi mà lòng đau nhói, một cô bé nhỏ xíu đã phải chịu nhiều đau khổ",1
Vì sự hiểu chuyện của cô bé mà khóc cạn nước mắt,1
Bộ phim ám ảnh nhất mình từng xem. Thế giới luôn tồn tại sự không công bằng!,2
"Coi phim dù đau lòng , nhưng vẫn có chút an ủi vì sau đau khổ vẫn có tình người ấm áp",1
phim này đã lấy đi nước mắt nhìu quá,1
"mém khóc, phim này hay quá",1
Coi mà buồn thúi ruột,1
"Coi phim này lâu rồi, kinh dị lắm",2
Chỉ xem tới đây thôi đã đủ lắm rồi. Tim đau thắt lại,1
Phim hay và cảm động kinh,1
Cảm ơn team đã tóm tắt hết tất cả các phần của phim,4
Lời tỏ tình hay nhất không phải là Anh yêu em mà là Tôi nuôi cô ,4
Chúng ta đang rất chờ mong vào sự trở lại của Rick,4
Đến giờ nhạc chuông điện thoại của tôi vẫn là nhạc nền đoạn Tôi nuôi cô. Hay vãi chưởng.,3
Làm về Supernatural đi ạ,4
Huyền thoại diễn suất là đây,4
"Trùm cuối là em gái ruột, ngồi tù vẫn làm cho thế giới khoáy đảo khiếp thiệt.",4
"Đã xem rồi, rất đáng đồng tiền bát gạo. Kết thúc rất hay và bất ngờ",3
Nghe thuyết minh không hay bằng đọc sách,4
Cái kết không ngờ tới. Khá hay với một bộ phim việt nam,3
Bao giờ ra tiếp series về the X-files vậy,4
Mua bộ truyện tới giờ chưa đọc nữa,4
phim này coi ở đâu vậy mọi người ?,4
Bộ phim dựa trên câu chuyện có thật.,4
Tôi đã sai lầm khi xem video này lúc 12h đêm,2
Cảnh bà già đứng hình mất 5s là 1 khoảnh khắc miêu tả chính xác nhất cái thứ đc gọi là kinh dị thuộc về Stephen King..,2
Đã từng xem phim 10 năm về trước xem lại tóm tắt thấy rất hay,3
Bộ phim rất nhiều cảm xúc,1
"Vẫn còn hãi cái vụ đống bánh may mắn nở ra đám quái thai đầu baby, nghe tiếng khóc thôi mà vừa thương vừa sợ",2
đã xem đêm sợ rồi còn thêm quả cuối nữa thì khỏi ngủ,2
 tuyệt quá giờ mới có người review hết mà nghiêm túc và hay thế này,3
Đoạn này ghê nhất trong cả bộ phim luôn,2
phim này vẫn còn cuốn lắm,3
Đọc trọn bộ nhiều lần rồi vẫn thích nghe.,3
Bộ phim gắn liền với tuổi thơ,4
coi Harry Potter cả mấy năm nay vẫn không chán,4
Nhức não ko kém Inception,4
"Có nhiều giải thích về bộ phim lắm, đọc nào cũng có lý",4
"từ trước tới giờ mình mê mỗi phim này,quá hay,đồ họa,ánh mắt và kịch bản",4
Đoạn xúc động nhất là mặt Ceasar khi xem lại video cũ về mình khi nhỏ.,1
Lúc xem phim mình đã khóc khi Ceasar mất,1
"Phim chết tiệt này, làm tôi dưng dưng nước mắt mấy lần. Phim thực sự đỉnh.",1
Tôi thích phim này đến nỗi khi xem xong tôi phải đi mua luôn 3 quyển truyện,3
"Bộ truyện duy nhất tôi coi đầy đủ hết, coi ghiền từ truyện đến phim",3
Tôi thích phim này đến nỗi coi đi coi lại 4 phần phim tận 3 lần,3
Cái kết vừa hay vừa buồn,1
"Đang định ngủ để mai dạy sớm đi làm, lướt thấy phim cx tò mò xem. Không uổn công thức thêm 2 tiếng đẻ xem hết",4
Tôi đã khóc khi xem cái kết,1
Càng xem càng cuốn,3
"Ông bà nào là biên tập chính, xin nhận của tại hạ 1 lạy cảm phục.",4
"Bị cắm sừng, bị bỏ rơi mà vẫn chờ? Chữ chờ chỉ được thốt ra lúc vẫn còn thương mù quáng thôi",4
Mình rất thích phim này. Rất ấn tượng đầu tiên về series Gia đình Addams và cả dàn diễn viên đóng chính ,3
Mình rất thích phim này ấn tượng nhất bé tư câu nói rất ngầu và vừa xem tập đầu thấy cuốn rồi mình chính thức fan của dòng phim này,3
"ủng hộ chủ đề tâm lý, phát triển con người ạ",3
tui thấy phim dễ thương vui dẻ thú vị,0
Đang xem hay thiệt ạ .,3
Đúng với câu càng khác nhau thì sẽ hút nhau hơn mà,4
Ko cảm xúc khí chất ngúc trời..cô đơn nhưng an toàn,4
"Tâm lý vị thành niên thời nay là vậy sao, xã hội bây giờ dễ căng thẳng dễ căng thẳng quá nhỉ",4
Xưa xem khóc như mưa,1
phim duy nhất khiến tôi xem mà khóc á,1
đoạn đến nhà bạn gái ăn cơm cười vãi,0
"Phim hay, hấp dẫn từng phút.",3
"Phim rất hay, vừa hài, vừa ý nghĩa, rất hiện đại, chân thực!",3
Cho mình hỏi hình như anh Linh nghỉ rồi đúng không,4
Thực ra là mình xem nó thì thấy nó bình thường.,4
Em chưa 18 không hay thì phim nào hay trời,3
phim hay nè.,3
Phim này xem nhạt toẹt,4
"Công bằng mà nói thì khi xem phim này mình cảm thấy cuốn hút vào câu chuyện 1 cách tự nhiên, và mình muốn biết diễn biến tiếp theo thế nào, rõ ràng là bộ phim có cách kể chuyện tốt chứ không phải phim doanh thu cao là vì tiêu đề câu khách hay nội dung hài nhảm hay bất cứ gì cả, chỉ đơn giản là phim này có chất lượng nội dung nổi trội hơn rất nhiều so với các phim Việt thời điểm đó.",3
"Mình không phải là một người thường xuyên ra rạp xem phim, số phim mình ra rạp xem ít đến nổi đếm trên đầu ngón tay. Nhưng đây là bộ phim Việt đầu tiên mình bỏ tiền ra rạp xem xuất chiếu sớm. Không hiểu sao thời điểm mình thấy trailer của bộ phim mình thích cưc kỳ, thích nội dung, thích tạo hình nhân vật, thich luôn cả cách các nhân vật diễn xuất trong đoạn trailer đó, thật sự là mình chưa từng biết là xuất chiếu sớm sẽ mắc hơn những xuất chiếu thường, nhưng khi biết và sau một hồi đắn đo thì mình vẫn quyết định vào xem bộ phim này vì mình đã trót thích nó rồi. Sau khi xem xong thì mình rất ấn tượng với sự xinh xắn trong trẻo nét diễn xuất dễ thương của Kaity, mình thích nhân vật và cách diễn của KMT, mình thấy được sự chân thành của một cậu bé lớn đầu, thấy được sự mong chờ để xây dựng lên một gia đình của cậu bé đó. Tuy bối cảnh trong phim rất xa lạ với mình, nhưng mình thích các tình huống mà phim đem lại.",3
"Xem 30 phút đầu tưởng phim chán, sau cười lộn ruột ",0
Phải kiên trì lắm mới coi duoc đến giữa phim mà coi được đến giữa rồi thì thấy đỉnh ,3
Phim quá ghê rợn,2
"Phim này theo mình rất đang để xem lại, minh xem lại 2 lần rồi vẫn thấy hay!",3
PHIM NÀY HAY VL,3
phim hay cực,3
"Tôi là kiêu người đam mê những thể loại phim đáng sợ, rùng rợn, giật gân cùng những màn rượt đuổi và còn thêm cả yếu tố trinh thám, giải đố nên tôi sẽ xem Scooby Doo.",2
Ở nhà 1 mình thì xem phim kinh dị thôi nào :>>,2
Phim mà xem 3 lần vẫn thấy nó hay!,3
"Cái kết choáng váng , phim hay thật sự .",3
Tiếc có mỗi cái là phim chưa làm rõ được sức mạnh của thế lực trùm cuối Don Eladio mà Gus vs Salamanca cũng phải sợ.,4
phim đỉnh thế này mà không được 1 giải thưởng nào năm nay,3
"Phim đúng là thành công làm người khác ám ảnh, nó kinh tởm chứ không kinh dị nữa, xem sơ hình hải cẩu là thôi rùng mình. Mình thấy ý nghĩa đó là hạnh phúc khi còn là con người lành lặn, nên làm những điều tốt lành, không để biến thành nvật chính",2
"Đúng rồi, nó không phải phim kinh dị, nó là phim kinh tởm...",2
Giống Swamp Thing thế,4
Chẳng thấy kinh dị chỗ nào,4
Phim nhẹ nhàng và nhạc nền rất hay ️,3
>.< Dễ thương quá,3
Những năm tháng cô đơn như bào mòn tình yêu của con người ta,4
Nói thật vẫn thích series hellraiser của doug bradley hơn,4
Không biết mọi người sao chứ. Tôi thấy phần 2022 này nó không hay bằng mấy phần trước .,4
:3 Nữ chính xinh thật,4
Hay quá,3
Phim hay cuốn,3
cười vãi cả chưởng thiệt đó chứ ,0
lớp trưởng giờ thành kiểu siêu nhân rồi :v,4
Phim phi lý vl,4
Phim này dở hơn cù lao,4
"Xem phim này khoái mỗi nhỏ lớp trưởng. Xinh vãi ò, mà còn ngầu lòi nữa",3
đúng là phim ổn thật nma mấy cái sạn hài vãi :))) chạy vòng vòng toàn vào chỗ khó thoát để chết sạch :)) phần sau nguyên 1 đám superhuman đấm nhau là chuẩn bài này :)),0
Phim hay. Xem rất cảm động,1
"xem phim này đã khóc, xem lại video này cũng khóc :)",1
"Phim này hay thật , bộ phim điện ảnh kinh điển nhất ấn độ",3
"Phim hay, ý nghĩa thực sự.",3
"Không nhưng mà phim này hay thật sự, xem lại rất nhiều lần.",3
thật ra phi hành gia ko dùng bút chì vì bụi chì lơ lửng trong môi trường vô trọng lực rất hại cho cơ thể và máy móc,4
"Trong một cuộc đời, bạn có thể có một người yêu tận tình  không có nghĩa là không cần một người bạn tận tâm",4
Bộ phim hay tuyệt vời.,3
Bộ phim đưa mình tới với Tinh gia :v,4
cái đoạn tui nuôi cô là cái đoạn cảm động vcl,1
Đây là bộ phim tui thấy hay nhất. Và nữ chính đẹp nhất,3
Một trong những phim hài nhất từng xem,0
phim tưởng hài nhảm nhưng sâu bên trong là cái gì đó rất sâu lắng,0
"coi cười chết mẹ , nhất là khúc ăn cơm vs ha ri mắc woai đi nè :))))",0
Bộ phim hay nhất mùa dịch,3
T hơi hụt hẫng khi ko nhắc về fefim cho tới mấy giây cuối,4
"Thuyet minh rât tê, tánh tình chac ko ra gi",4
Phim hay cuốn,3
Bất ngờ chưa ông già,4
Phim của Châu Tinh Trì nên xem trọn tập sẽ thấy nó cười ná thở từng chi tiết :)))),0
Hồi nhỏ xem đoạn cuối ko biết sao cái sạp bán thịt lại rung rinh.,4
Phim này khịa đỉnh :))))))))))) cài cắm các chi tiết hay đúng là phim Tinh Gia,3
Phim này xem đi xem lại mà vẫn hay,3
Nhờ phim này mới biết đến bài nhạc lý hương lan,4
Giờ mới thấy phim hài mà đá đểu nhiều thứ phết :))),0
Phim khắm.cười sặc luôn,0
Cái này đầu phim nó múa mắc cười v,0
Cười ẻ,0
"Phim cực phẩm hài thế mà bình luận hài nghe nó lại kém hay hẳn, văn và giọng của bạn này đều kém.",0
Phim xem từ hồi bé tý đến giờ vẫn hài =)))),0
"Phim hiếm hoi xem đi xem lại k chán, xem 100 lần vẫn muốn xem thêm 100 lần nữa",3
"Phim võ thuật bạo lực, hành động mà ngồi cười là chính :))",0
"Xem bao nhiêu lần vẫn thấy ko đủ, phim vừa hay vừa hài vừa ý nghĩa dã man",3
bộ này hay vcl <333,3
Phim hay nhưng mình để ý em bán kẹo xinh phết,3
Tuổi thơ mãi đỉnh,4
1 trong những phim xem lại không chán,3
Film này công nhận rất hay,3
Trời ạ xem phim này cũng vài lần rồi nhưng mà chưa bao giờ xem đến đoạn khinh công lên xe bus,4
phim này hài ghê,0
"Không nói dối, không đánh nhau và học thật giỏi là những thứ tôi không có khi còn đi học",4
phim đầu tiên khiến t rơi nước mắt,1
phim này xem khóc cạn nước mắt....,1
Xem phim của tinh gia càng lớn càng thấy buồn nhỉ.,1
Phim hay cười muốn ná thở  đúng là phim của chú Châu,0
Sau bao nhiêu năm công chiếu thì người nổi tiếng nhất phim lại là 2 ông cảnh sát,4
bộ này hay vl =)))))))),3
Phim này hồi còn nhỏ xem hoài giờ xem lại vẫn hay,3
Phim này hay nè coi mấy lần rồi,3
Thề phim này hay vl,3
Nhạc phim bộ này đúng đỉnh thực sự.,3
Kết buồn sâu đắng ôi kỉ niệm tuổi thơ ùa về,1
bộ phim mình thích nhất của Thành Long,3
Phim hay cảnh đẹp nhạc phim thì hay như tên phim! Thật mình xem phim này xong quyến luyến rất nhiều,3
Thành phim hài cmnr :)))),0
Tình yêu xuyên kiếp là có đấy nha.,4
Nhớ ngày bé tí xem phim này sợ vcl :)),2
"Phim này đc xem lâu lắm rồi, giờ mở xem lại vẫn thấy hay",3
qua bộ phim cũng phải cảm phục trước những con người thầm lặng làm nhiệm vụ mật mã.,4
Tuyệt phẩm mà đến thời GenZ bây giờ đọc và xem vất cực kì hay,3
sau cùng thì tôi cũng thấy đc bộ phim yêu thích,3
Phim đã đỉnh rồi nhưng phải đọc truyện mới phê,3
phim hay nhưng khi đọc truyện còn thấm hơn,3
Coi phim mấy lần không chán,3
Phim này đúng đỉnh cao,3
Rất là hay nha kể cả những tình tiết sai lầm cũng rất là hay,3
Phim hay vãi !! Hồi bé xem mà khóc hoài,1
"Phim mang tính nghệ thuật rất cao, xem mấy lần ko chán",3
Phim càng xem càng thấm,3
"khi ta ở đất cũng chỉ là nơi ở, khi ta đi đất bỗng hóa tâm hồn",4
Uôi cách kể chuyện theo góc nhìn thứ nhất này khá thú bị đấy chứ nhưng nó chỉ phù hợp với thể loại độc thoại nội tâm như này thôi.,3
Một lý do nào đó mà tôi xem phim này mà tôi khóc,1
Phim buồn vc,1
Bộ phim ý nghĩa và tầu hài nhất thời trẻ trâu chưa biết suy nghĩ gì. Thiếu đoạn kéo mặt trăng vs biến của quý nữa,0
Phim hay thật,3
Phim này tếu lắm,0
"Xem phim này lần đầu, khúc leo bị bắt trước cửa nhà mình đứng nhìn qua cửa kính mà cay mũi.",1
Phim xem đến n lần r vẫn thấy hay,3
Hay quá mong sự phụ chỉ bí kíp con cũng muốn đc như chị anna đi lừa mấy tỷ đùa thôi phim chứ ngoài đời đi tù như chs,4
chắc đây là phim hay nhất từ sau endgame rồi,3
T Vẫn luôn là fan MU,4
hoài niệm dàn diễn viên hồi xưa quá,4
Cái này phải đọc truyện tranh teddy boy mới hiểu hết nhân vật trong phim trong phim chỉ mới phản ánh một ít ,4
"Hơi thiếu muối, cần phải mặn hơn chút nữa",4
nội dung cũng hay phết chứ đùa,3
Chúa sẽ bảo vệ những người tin vào Người,4
"Coi xong phim này, e bị mất ngủ 1 ngày",2
"Phim này khá hay, k có tình tiết hack não, coi giải trí hợp lí. Theo mình thì đáng để xem",3
Đúng là con ma mất ngón là ám ảnh nhất phim,2
"vâng, sau khi xem xong phim, về nhà tự nhiên nhìn mấy nồi bò kho hay thịt sốt cà gì đó lại ớn ớn ko dám ăn",2
Đi xem phim ma là để đau tim,2
Ghê quá,2
Sợ thực sự,2
Ngắn nhưng tởm vãi !,2
Má tao đái ra quần r,2
máy cái hình kinh quá ọe,2
nói chung là phim k hay. Nhạt,4
Kịch bản dở tệ,4
phim nhảm lắm,4
phim dỡ dã man luôn á,4
